,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
38,06936,百亿持股计划，引发顺丰控股“震荡”,近期，顺丰控股（002352.SZ）的股价走势引发了市场的广泛关注。,2025-09-03 17:59:28,理财周刊-财事汇,http://finance.eastmoney.com/a/202509033503636236.html
39,06936,港股物流股走高顺丰控股涨近4% 快递业预期受益促内销与出海双向驱动,截至发稿，顺丰控股06936涨近4%、中通快递-W(02057.HK)、极兔速递-W(01519)双双涨超3%，中国外运,2025-04-14 15:47:55,财联社,http://finance.eastmoney.com/a/202504143376040933.html
40,06936,顺丰控股：陪伴客户在海外建立物流能力，是公司的机遇,新京报贝壳财经讯 6月14日，深交所上市公司顺丰控股股份有限公司（即顺丰控股，证券代码：002352）在投资者关系活动记录表中表示,2025-06-16 16:09:25,新京报,http://finance.eastmoney.com/a/202506163431533854.html
41,06936,顺丰控股：陪伴客户在海外建立物流能力 是公司的机遇,新京报贝壳财经讯 6月14日，深交所上市公司顺丰控股股份有限公司（即顺丰控股，证券代码：002352）在投资者关系活动记录表中表示,2025-06-14 17:31:08,新京报,http://finance.eastmoney.com/a/202506143430750381.html
42,06936,顺丰控股：累计回购约2327万股,顺丰控股（SZ 002352，收盘价：40.07元）4月7日晚间发布公告称，截至2025年4月7日，公司以集中竞价方式累计回购公司,2025-04-08 00:57:19,每日经济新闻,http://finance.eastmoney.com/a/202504083367911193.html
43,06936,顺丰控股启动10亿元回购计划，首期耗资4978.25万元,基于对未来发展前景的信心和自身价值的高度认同，顺丰控股开启此次回购计划。,2025-09-04 09:18:28,界面新闻,http://finance.eastmoney.com/a/202509043504269054.html
44,06936,顺丰控股上半年新业务大幅增长,8月28日晚，顺丰控股股份有限公司（以下简称“顺丰控股”）公布2025年半年度报告。,2025-08-29 00:05:10,证券日报,http://finance.eastmoney.com/a/202508293498429058.html
45,06936,重拾京东健康、增持多只高端白酒股 张坤：悲观预期会在某个时刻被打破,贵州茅台、山西汾酒、阿里巴巴、携程集团（09961.HK）、顺丰控股AH股（002352.SZ、,2025-07-21 11:06:31,澎湃新闻,http://finance.eastmoney.com/a/202507213462550424.html
46,06936,顺丰控股：公司暂未回购A股股份,顺丰控股7月2日晚间发布公告称，截至2025年6月30日，公司暂未通过股份回购专用证券账户以集中竞价方式回购公司A股股份,2025-07-02 20:20:32,每日经济新闻,http://finance.eastmoney.com/a/202507023446500022.html
47,06936,顺丰控股：融资余额33.34亿元，创历史新高（09-12）,顺丰控股融资融券交易明细（09-12）顺丰控股历史融资融券数据一览,2025-09-15 09:04:18,东方财富Choice数据,http://finance.eastmoney.com/a/202509153513226798.html
48,06936,重拾顺丰，大幅增持中芯国际、小米，银华基金李晓星：重点布局科技与红利,国联通（00762.HK）、中海油田服务（02883.HK）、顺丰控股（06936.HK、,2025-07-18 21:42:07,澎湃新闻,http://finance.eastmoney.com/a/202507183461466718.html
49,06936,顺丰控股：6月25日召开董事会会议,顺丰控股（SZ 002352，收盘价：50.29元）6月26日发布公告称，公司第六届第二十二次董事会会议于2025年6,2025-06-26 08:09:41,每日经济新闻,http://finance.eastmoney.com/a/202506263440669028.html
50,06936,顺丰控股：4月营收239.15亿元 同比增长12.42%,中证报中证网讯（记者倪铭娅）5月19日晚间，顺丰控股发布4月经营数据。,2025-05-20 09:28:42,中国证券报·中证网,http://finance.eastmoney.com/a/202505203409092854.html
51,06936,顺丰控股增资至49.86亿元，增幅约3.5%,9月1日，据天眼查工商信息显示，近日顺丰控股股份有限公司（简称“顺丰控股”）发生工商变更，注册资本由约48.16亿元增至约,2025-09-01 13:07:23,新京报,http://finance.eastmoney.com/a/202509013500939367.html
52,06936,顺丰控股：公司暂未以集中竞价方式回购A股股份,顺丰控股（SZ 002352，收盘价：43.93元）5月7日晚间发布公告称，截至2025年4月30日，公司暂未通过股份回购专用证券账户以集中竞价方式回购公司,2025-05-07 20:26:35,每日经济新闻,http://finance.eastmoney.com/a/202505073398344112.html
53,06936,顺丰控股：融资余额32.29亿元，创历史新高（09-11）,顺丰控股融资融券交易明细（09-11）顺丰控股历史融资融券数据一览,2025-09-12 09:01:42,东方财富Choice数据,http://finance.eastmoney.com/a/202509123511792197.html
54,06936,顺丰控股：拟配售新H股筹资约29.5亿港元,顺丰控股在港交所公告，根据一般性授权配售新H股，配售所得款项总额预计约为29.5亿港元。,2025-06-26 07:39:43,财联社,http://finance.eastmoney.com/a/202506263440583655.html
55,06936,顺丰控股：首次回购118.5万股,南财智讯9月3日电，顺丰控股公告，公司于2025年9月3日首次通过集中竞价方式回购118.5万股，总金额为4978.25,2025-09-03 19:34:20,南方财经网,http://finance.eastmoney.com/a/202509033503697844.html
56,06936,顺丰控股：融资余额30.94亿元，创历史新高（09-03）,顺丰控股融资融券交易明细（09-03）顺丰控股历史融资融券数据一览,2025-09-04 09:07:13,东方财富Choice数据,http://finance.eastmoney.com/a/202509043504186137.html
57,06936,顺丰控股：融资余额31.36亿元，创历史新高（09-09）,顺丰控股融资融券交易明细（09-09）顺丰控股历史融资融券数据一览,2025-09-10 09:08:30,东方财富Choice数据,http://finance.eastmoney.com/a/202509103509467488.html
58,06936,河南省委书记、省长会见顺丰控股董事长王卫,刘宁指出，顺丰控股作为快递物流行业领军企业，深耕河南市场，加速推动“豫货出省”向“豫链全球”升级，为河南高质量发展提供了强有力供应链支撑,2025-04-02 19:01:03,人民财讯,http://finance.eastmoney.com/a/202504023363718395.html
59,06936,顺丰控股：6月营收262.54亿元 同比增长13.43%,中证报中证网讯（记者倪铭娅）7月18日晚间，顺丰控股发布6月经营数据简报显示，6月顺丰控股速运业务持续增长，供应链及国际业务稳步回升,2025-07-18 21:22:20,中证网,http://finance.eastmoney.com/a/202507183461467659.html
60,06936,顺丰控股：7月速运物流业务量13.77亿票 同比增长33.69%,摩根士丹利于7月31日宣布，将顺丰控股A股评级上调至“超配”；与此同时，易方达蓝筹精选等多只市场关注度较高的基金产品，在二季度进一步增持顺丰控股,2025-08-19 21:03:54,中国证券报·中证网,http://finance.eastmoney.com/a/202508193488404812.html
61,06936,顺丰控股2024财报：净利润破百亿，国际业务仍陷亏损困局,面向未来，顺丰控股计划通过科技创新和多元化布局进一步巩固市场地位。在高时效快递和航空物流网络建设上，,2025-03-30 17:24:09,南方都市报,http://finance.eastmoney.com/a/202503303360226164.html
62,06936,顺丰控股注册资本增至49.86亿元,本报讯 （记者袁传玺）天眼查工商信息显示，近日，顺丰控股（002352）发生工商变更，注册资本由约48.16亿元增至约,2025-09-01 21:33:14,证券日报,http://finance.eastmoney.com/a/202509013501296285.html
63,06936,港股早报｜纳斯达克金龙指数尾盘小幅上涨 中国联通一季度净利同比增近6%,顺丰控股06936HK.)：基础设施公募REITs在深交所上市。融创中国(01918HK.),2025-04-22 07:19:19,财联社,http://finance.eastmoney.com/a/202504223383497236.html
